City,Monthly Average pm10,Monthly Average pm2.5,Monthly Average carbon_monoxide,Monthly Average nitrogen_dioxide,Monthly Average sulphur_dioxide,Monthly Average ozone,Monthly Average dust,Monthly Average uv_index,Monthly Average ammonia
Charlotte,13.28763484954834 14.746726036071777 16.060617446899414 13.300277709960938 17.65913963317871 26.117084503173828 27.388845443725586 22.608198165893555 17.944305419921875 13.529436111450195 14.104999542236328 18.52150535583496,9.204704284667969 9.980059623718262 11.046370506286621 9.076666831970215 12.089112281799316 18.156944274902344 19.054838180541992 15.623656272888184 12.353055953979492 9.216532707214355 9.66069507598877 12.895295143127441,211.91397094726562 184.1517791748047 185.59542846679688 182.69305419921875 186.25807189941406 264.9069519042969 295.013427734375 301.9744567871094 291.2694396972656 261.9139709472656 298.6388854980469 387.0093994140625,17.72634506225586 14.584449768066406 12.206316947937012 11.329305648803711 8.454704284667969 10.582222938537598 8.879301071166992 10.267069816589355 12.309444427490234 11.877419471740723 15.68791675567627 20.50228500366211,3.840860366821289 3.252678632736206 3.2286291122436523 3.211805582046509 2.253763437271118 3.247361183166504 3.2245969772338867 3.524193525314331 3.626528024673462 3.4673385620117188 4.799444675445557 5.506317615509033,45.38978576660156 58.83481979370117 74.81855010986328 80.43472290039062 87.80779266357422 97.05972290039062 103.51612854003906 94.3978500366211 80.84166717529297 63.65322494506836 52.5625 39.99193572998047,0.0 0.004464285913854837 0.0 0.0 0.0 0.04027777910232544 0.5094085931777954 0.21370968222618103 0.08611111342906952 0.0 0.0027777778450399637 0.0026881720405071974,0.4404570162296295 0.6738095283508301 1.2088037729263306 1.444374918937683 1.6592068672180176 1.624235987663269 1.9940860271453857 1.830376386642456 1.5161806344985962 0.9961020946502686 0.5834722518920898 0.3770161271095276,nan nan nan nan nan nan nan nan nan nan nan nan
Brisbane,13.649327278137207 14.35014820098877 13.910484313964844 12.770833015441895 14.181451797485352 15.757500648498535 14.786962509155273 14.591936111450195 15.623332977294922 14.153898239135742 16.89236068725586 15.46236515045166,7.962500095367432 8.064582824707031 8.113306045532227 7.251111030578613 8.616397857666016 9.718889236450195 9.148521423339844 8.88991928100586 9.231666564941406 8.203359603881836 9.824584007263184 9.479301452636719,73.09408569335938 74.78868865966797 94.2513427734375 82.37777709960938 126.69623565673828 130.7263946533203 137.03494262695312 131.622314453125 120.73332977294922 111.18010711669922 124.04305267333984 129.1653289794922,6.091196537017822 6.424553394317627 10.271236419677734 8.276110649108887 14.852150917053223 16.332916259765625 11.919085502624512 8.680377006530762 6.283194541931152 4.467876434326172 5.635833263397217 5.2255377769470215,2.7972445487976074 2.3198659420013428 3.175403118133545 2.5072221755981445 3.904435396194458 4.158610820770264 2.904973268508911 2.310349464416504 1.9801387786865234 1.6829301118850708 1.801527738571167 2.1395161151885986,38.29435348510742 40.248512268066406 40.89247131347656 43.15972137451172 38.07123565673828 38.23472213745117 45.43682861328125 55.727149963378906 62.21111297607422 61.22311782836914 54.54999923706055 61.35887145996094,1.0322580337524414 1.788690447807312 2.1357526779174805 1.9361110925674438 1.9905914068222046 1.4916666746139526 0.0026881720405071974 0.0672043040394783 0.29305556416511536 0.4139784872531891 0.4513888955116272 0.9946236610412598,2.6814515590667725 2.4278273582458496 1.8559811115264893 1.3888194561004639 0.954838752746582 0.71958327293396 0.8006720542907715 1.031518816947937 1.4545139074325562 2.049999952316284 1.9652082920074463 2.6682794094085693,nan nan nan nan nan nan nan nan nan nan nan nan
Orlando,13.61532211303711 17.160415649414062 14.007795333862305 14.556944847106934 14.52647876739502 14.73236083984375 20.82499885559082 18.510482788085938 12.664583206176758 14.509408950805664 12.831388473510742 13.379704475402832,8.671640396118164 10.495535850524902 8.614112854003906 8.768610954284668 8.886290550231934 9.338194847106934 12.716936111450195 10.48548412322998 7.75333309173584 8.592473030090332 7.446666717529297 7.77957010269165,166.51612854003906 144.04762268066406 152.4220428466797 147.665283203125 164.43682861328125 160.227783203125 174.36021423339844 176.877685546875 181.69444274902344 195.2002716064453 188.0124969482422 192.39247131347656,14.324596405029297 8.161681175231934 8.76034927368164 8.630833625793457 9.888306617736816 8.363194465637207 11.949193954467773 10.39879035949707 10.372361183166504 7.609139919281006 8.440278053283691 9.08629035949707,2.4813172817230225 1.8084077835083008 1.4884408712387085 1.3820832967758179 1.3696236610412598 1.1038888692855835 1.7702956199645996 1.5720429420471191 1.7137500047683716 1.4780913591384888 2.065972328186035 1.751881718635559,58.1263427734375 74.13838958740234 79.375 75.37222290039062 83.81989288330078 73.10832977294922 65.57661437988281 62.782257080078125 68.06388854980469 67.36962127685547 64.8236083984375 59.29704284667969,0.0 0.0 0.0 0.0 0.0 0.612500011920929 7.064516067504883 7.36962366104126 0.05833333358168602 0.038978494703769684 0.012500000186264515 0.045698925852775574,0.8530914187431335 1.2638392448425293 1.741599440574646 1.698472261428833 1.960954189300537 1.9623610973358154 2.0340726375579834 2.04428768157959 1.6179167032241821 1.289381742477417 0.801111102104187 0.6230510473251343,nan nan nan nan nan nan nan nan nan nan nan nan
Kansas City,13.858468055725098 17.728124618530273 14.398924827575684 14.472084045410156 18.635618209838867 23.952083587646484 19.514245986938477 18.454301834106445 14.80583381652832 7.897715091705322 9.315278053283691 10.238709449768066,9.569757461547852 12.22008991241455 9.976478576660156 10.012916564941406 12.950135231018066 16.684860229492188 13.468547821044922 12.769085884094238 10.248611450195312 5.405107498168945 6.425416469573975 7.033064842224121,196.4166717529297 184.17112731933594 166.03091430664062 158.6999969482422 201.13575744628906 231.584716796875 255.1760711669922 259.0349426269531 268.8819580078125 222.8736572265625 259.1944580078125 249.24462890625,16.2014102935791 14.730208396911621 9.229435920715332 7.59499979019165 12.157391548156738 12.946389198303223 12.168816566467285 9.905241966247559 9.5024995803833 8.931720733642578 13.76069450378418 12.722848892211914,6.147647857666016 4.702827453613281 2.8431451320648193 4.00902795791626 2.8590054512023926 3.5123610496520996 1.3530913591384888 1.4106183052062988 1.4900000095367432 1.4401881694793701 2.2150001525878906 1.9116935729980469,39.95564651489258 52.23660659790039 61.720428466796875 74.02222442626953 78.78763580322266 95.87638854980469 85.94489288330078 85.28763580322266 75.6763916015625 57.845428466796875 45.988887786865234 40.88306427001953,0.0 0.0520833320915699 0.016129031777381897 0.011111111380159855 0.016129031777381897 0.05694444477558136 0.8145161271095276 0.5107526779174805 0.05138888955116272 0.05645161122083664 0.01666666753590107 0.05107526853680611,0.31525537371635437 0.6285713911056519 0.7876344323158264 1.331944465637207 1.7110215425491333 2.0147221088409424 1.9512768983840942 1.789650559425354 1.4188194274902344 0.8571236729621887 0.4658333361148834 0.22936826944351196,nan nan nan nan nan nan nan nan nan nan nan nan
Ljubljana,34.215187072753906 37.23094940185547 30.477956771850586 18.57666778564453 13.859946250915527 14.491388320922852 13.00214958190918 16.742338180541992 19.444581985473633 24.588171005249023 23.047779083251953 31.994218826293945,12.105377197265625 22.581844329833984 12.52419376373291 10.585694313049316 11.772446632385254 12.494583129882812 10.946908950805664 10.047446250915527 9.838194847106934 10.988709449768066 7.979722023010254 22.24045753479004,290.69085693359375 274.8526916503906 226.6263427734375 190.03054809570312 158.80511474609375 154.38194274902344 159.15859985351562 188.96237182617188 199.0013885498047 211.4287567138672 265.51806640625 332.4179992675781,20.71666717529297 18.746427536010742 14.820026397705078 10.699444770812988 8.62271499633789 8.865694046020508 8.801612854003906 11.857795715332031 12.286943435668945 13.980108261108398 19.13194465637207 20.448118209838867,1.7148520946502686 1.8721725940704346 1.273924708366394 0.9130555987358093 0.7360214591026306 0.643333375453949 0.5969086289405823 0.8217742443084717 1.024583339691162 1.0602149963378906 1.2052778005599976 1.312768816947937,34.2379035949707 52.2023811340332 61.76747131347656 65.83472442626953 65.7486572265625 72.68888854980469 71.372314453125 68.90859985351562 62.09166717529297 53.56989288330078 35.247222900390625 29.434139251708984,0.3709677457809448 0.3020833432674408 0.25134408473968506 0.2291666716337204 0.3145161271095276 1.6944444179534912 1.9395161867141724 1.1518816947937012 2.347222328186035 4.201612949371338 0.0069444444961845875 0.18010753393173218,0.14186827838420868 0.39709821343421936 0.5790322422981262 0.8849306106567383 1.1590054035186768 1.5795834064483643 1.7503360509872437 1.5010753870010376 1.0944443941116333 0.5143817663192749 0.21847222745418549 0.14428763091564178,nan 3.950378894805908 5.5098114013671875 4.58347225189209 2.2911291122436523 2.442638874053955 2.1962366104125977 3.1133065223693848 3.272639036178589 2.3709676265716553 2.644444465637207 2.259946346282959
Dallas,16.79905891418457 17.581993103027344 16.694759368896484 16.25347137451172 25.323118209838867 20.61402702331543 19.757930755615234 17.591129302978516 15.3100004196167 11.547311782836914 14.368193626403809 11.602150917053223,11.513574600219727 12.00014877319336 11.398252487182617 11.095417022705078 17.486289978027344 13.918749809265137 13.091398239135742 11.7586030960083 10.313194274902344 7.7392473220825195 9.744860649108887 7.741128921508789,282.4811706542969 234.9345245361328 219.58737182617188 208.78195190429688 268.9206848144531 252.48056030273438 206.86155700683594 236.4287567138672 249.80694580078125 260.0362854003906 295.477783203125 283.5887145996094,24.812095642089844 22.051712036132812 19.31021499633789 17.53319549560547 23.180240631103516 21.09055519104004 12.97311782836914 15.412500381469727 16.262638092041016 18.32137107849121 23.44124984741211 24.92876434326172,2.779771327972412 2.181175708770752 2.095026731491089 2.7952778339385986 2.3967740535736084 2.456111192703247 2.3071236610412598 2.436021566390991 2.673888921737671 2.6499998569488525 3.538749933242798 3.3028225898742676,35.80241775512695 42.126487731933594 50.5134391784668 59.36111068725586 63.60618209838867 85.23611450195312 84.66263580322266 85.98925018310547 81.66944122314453 54.779571533203125 39.86249923706055 32.04570007324219,0.030913978815078735 0.0877976194024086 0.029569892212748528 0.05972222238779068 0.05510752648115158 0.13333334028720856 4.333333492279053 1.701612949371338 0.11527777463197708 0.02016128972172737 0.02638888917863369 0.11021505296230316,0.5448924899101257 0.8241071105003357 1.2400537729263306 1.4040971994400024 1.618481159210205 2.137986183166504 2.4785618782043457 2.3262767791748047 1.683750033378601 1.0879032611846924 0.6971527934074402 0.4927419424057007,nan nan nan nan nan nan nan nan nan nan nan nan
Columbus,9.23924732208252 10.992708206176758 11.40107536315918 13.786666870117188 19.20241928100586 31.116527557373047 24.296504974365234 20.423254013061523 13.551111221313477 9.410348892211914 9.213333129882812 11.428091049194336,6.419892311096191 7.548809051513672 7.903897762298584 9.5600004196167 13.366935729980469 21.71263885498047 16.86465072631836 14.105510711669922 9.383193969726562 6.483870983123779 6.387083530426025 7.982257843017578,176.4193572998047 166.375 160.81719970703125 169.6152801513672 182.02420043945312 262.8208312988281 265.44757080078125 288.3400573730469 249.70416259765625 221.77420043945312 241.84584045410156 254.56048583984375,9.38057804107666 8.17566967010498 5.821236610412598 6.345555305480957 6.306182384490967 6.061388969421387 7.494758129119873 6.334005355834961 7.462638854980469 7.467741966247559 10.421944618225098 12.02567195892334,3.2974462509155273 2.68355655670166 2.167607545852661 2.133610963821411 1.6737903356552124 1.8633333444595337 2.70591402053833 3.5649194717407227 3.4548611640930176 3.4456989765167236 4.411666393280029 5.565188407897949,44.274192810058594 59.1413688659668 71.40725708007812 73.04166412353516 75.31451416015625 92.07917022705078 90.6491928100586 81.99193572998047 70.99166870117188 59.337364196777344 51.63194274902344 43.247310638427734,0.0 0.0 0.017473118379712105 0.0 0.02150537632405758 0.012500000186264515 0.2983871102333069 0.23252688348293304 0.03888889029622078 0.0026881720405071974 0.0 0.02822580561041832,0.22123657166957855 0.5613095164299011 0.8016801476478577 1.2487499713897705 1.5899864435195923 1.483472228050232 1.7545698881149292 1.6266127824783325 1.2215278148651123 0.7239246964454651 0.4315277934074402 0.20577958226203918,nan nan nan nan nan nan nan nan nan nan nan nan
Raleigh,12.071236610412598 14.26428508758545 16.368144989013672 14.225138664245605 17.49395179748535 27.034860610961914 25.535886764526367 20.852283477783203 15.83013916015625 13.819892883300781 13.432639122009277 14.556317329406738,8.34704303741455 9.615178108215332 11.20040225982666 9.629027366638184 11.883870124816895 18.735973358154297 17.718952178955078 14.254837989807129 10.781944274902344 9.395430564880371 9.11472225189209 10.134543418884277,182.0537567138672 169.09524536132812 175.59677124023438 172.36111450195312 178.80645751953125 256.2124938964844 269.95159912109375 276.9059143066406 260.897216796875 265.1048278808594 285.8847351074219 328.3656005859375,10.42446231842041 7.822767734527588 6.63266134262085 6.37041711807251 5.787768840789795 7.238333702087402 6.607929706573486 7.216397762298584 8.631388664245605 10.828359603881836 13.587778091430664 16.12352180480957,2.745698928833008 2.3616816997528076 2.210618257522583 2.2968053817749023 1.2809139490127563 1.7270833253860474 2.25309157371521 2.4766128063201904 2.5595834255218506 2.9778225421905518 4.22208309173584 5.235215187072754,49.29301071166992 61.380950927734375 75.26478576660156 79.12638854980469 84.73118591308594 94.66805267333984 99.57527160644531 92.26612854003906 78.44444274902344 61.587364196777344 53.64583206176758 42.442203521728516,0.0 0.004464285913854837 0.0 0.004166666883975267 0.0 0.02222222276031971 0.4529569745063782 0.15860214829444885 0.05000000074505806 0.0 0.0027777778450399637 0.0,0.4516128897666931 0.688467264175415 1.1358870267868042 1.4402083158493042 1.5985215902328491 1.6831250190734863 1.975604772567749 1.756854772567749 1.4432638883590698 0.9739246964454651 0.5892361402511597 0.37735214829444885,nan nan nan nan nan nan nan nan nan nan nan nan
Seattle,12.754973411560059 15.28735065460205 16.524059295654297 13.563194274902344 18.79758071899414 15.304582595825195 12.146371841430664 20.21115493774414 14.010555267333984 13.551074981689453 13.661943435668945 11.277284622192383,8.669757843017578 10.201042175292969 11.070564270019531 8.904999732971191 12.293279647827148 10.185972213745117 8.177016258239746 13.664247512817383 9.367361068725586 9.204031944274902 9.243611335754395 7.683064937591553,242.11692810058594 244.7604217529297 240.48924255371094 201.6138916015625 202.63844299316406 171.71804809570312 190.19354248046875 250.98924255371094 257.3166809082031 290.8897705078125 317.36944580078125 298.7217712402344,23.723522186279297 21.519643783569336 19.978897094726562 15.28791618347168 15.697983741760254 12.810555458068848 14.857257843017578 18.071640014648438 19.94791603088379 25.946908950805664 29.063888549804688 28.77970314025879,1.5405913591384888 1.6029760837554932 1.4372313022613525 1.6938889026641846 1.8883064985275269 1.6659722328186035 2.3060483932495117 3.519354820251465 3.204444408416748 4.052016258239746 4.035694599151611 3.145967960357666,39.565860748291016 56.26041793823242 66.32795715332031 66.4013900756836 78.002685546875 69.20277404785156 51.77553939819336 52.56182861328125 45.36249923706055 31.169355392456055 31.70833396911621 31.887096405029297,0.0 0.0 0.0 0.015277777798473835 0.029569892212748528 0.015277777798473835 0.052419353276491165 0.04032257944345474 0.04305555671453476 0.02822580561041832 0.02222222276031971 0.0,0.11108870804309845 0.2517856955528259 0.5021505355834961 0.7452083230018616 1.4811828136444092 1.641389012336731 1.8933467864990234 1.5229166746139526 0.8802777528762817 0.46895161271095276 0.18888889253139496 0.07869623601436615,nan nan nan nan nan nan nan nan nan nan nan nan
Minneapolis,17.165592193603516 21.037649154663086 18.681720733642578 16.175556182861328 19.347848892211914 31.487499237060547 22.93360137939453 18.932392120361328 12.226805686950684 8.342473030090332 9.142916679382324 11.379435539245605,11.953898429870605 14.529017448425293 12.941532135009766 11.245416641235352 13.492338180541992 21.925138473510742 15.994757652282715 13.118951797485352 8.491666793823242 5.775134563446045 6.301249980926514 7.915187835693359,211.52957153320312 187.8125 171.15188598632812 154.0 185.26478576660156 243.58193969726562 263.5362854003906 293.3629150390625 255.81944274902344 247.44085693359375 253.03472900390625 284.6088562011719,21.783601760864258 17.251487731933594 15.600268363952637 9.917500495910645 10.85268783569336 15.304028511047363 9.402419090270996 8.987500190734863 8.087499618530273 11.831585884094238 13.515972137451172 17.608198165893555,5.24959659576416 4.182589054107666 3.3458333015441895 2.8840277194976807 2.606182813644409 2.5 1.4806451797485352 1.6836020946502686 1.649999976158142 1.7931451797485352 1.911388874053955 2.352957010269165,46.01881790161133 65.66220092773438 72.55107879638672 72.65833282470703 78.67070007324219 89.2249984741211 74.24193572998047 71.88172149658203 71.41388702392578 50.64112854003906 44.780555725097656 34.34139633178711,0.0 0.004464285913854837 0.06854838877916336 0.08472222089767456 0.0013440860202535987 0.10694444179534912 0.18145161867141724 0.1733870953321457 0.03055555559694767 0.02150537632405758 0.06805555522441864 0.06317204236984253,0.21895159780979156 0.4460565447807312 0.6493279933929443 0.9913194179534912 1.5106183290481567 1.6717361211776733 1.7026209831237793 1.5571236610412598 1.0510417222976685 0.5639784932136536 0.2839583158493042 0.14462365210056305,nan nan nan nan nan nan nan nan nan nan nan nan
Vilnius,11.743548393249512 13.820833206176758 11.91263484954834 11.731388092041016 7.480376243591309 7.27430534362793 6.413171768188477 9.333467483520508 10.413333892822266 8.302956581115723 11.324860572814941 12.718010902404785,5.6819891929626465 8.762797355651855 9.335214614868164 12.814722061157227 10.366128921508789 13.814167022705078 10.642875671386719 9.536962509155273 6.970694541931152 4.8216400146484375 4.688472270965576 5.92405891418457,187.59811401367188 197.83184814453125 168.52688598632812 157.41250610351562 127.872314453125 126.54305267333984 135.51344299316406 163.7567138671875 186.5625 197.38441467285156 205.89166259765625 218.5833282470703,9.478293418884277 11.159523963928223 8.050000190734863 7.935972213745117 8.741263389587402 8.76111125946045 6.883333683013916 9.156183242797852 10.497638702392578 7.253360271453857 10.657777786254883 10.112903594970703,2.0273520946502686 1.7169643640518188 1.2870967388153076 1.1694444417953491 1.005779504776001 0.7333333492279053 0.6228494644165039 0.9307795763015747 1.1531944274902344 1.0954301357269287 1.741527795791626 1.4897849559783936,43.8629035949707 53.27083206176758 65.78091430664062 58.781944274902344 65.36289978027344 62.31388854980469 62.80107498168945 66.34408569335938 54.88055419921875 44.405914306640625 38.61111068725586 40.709678649902344,0.2083333283662796 0.0074404762126505375 0.0013440860202535987 0.6305555701255798 0.02688172087073326 0.2611111104488373 0.0 0.600806474685669 0.8930555582046509 0.48252686858177185 0.0 0.0,0.04374999925494194 0.14538690447807312 0.332594096660614 0.6173611283302307 1.1424731016159058 1.3093055486679077 1.2917338609695435 1.157056450843811 0.8025000095367432 0.23810483515262604 0.07458333671092987 0.038306452333927155,nan 1.2152462005615234 2.254301071166992 1.9498611688613892 1.488171935081482 1.3502777814865112 1.275268793106079 1.6736558675765991 2.0704166889190674 0.9487903714179993 0.7676389217376709 0.3330645263195038
Nashville,8.62661361694336 12.320536613464355 11.541800498962402 11.512638092041016 18.987634658813477 23.267637252807617 24.25080680847168 19.957796096801758 16.620277404785156 9.997580528259277 12.153610229492188 12.279031753540039,5.9393815994262695 8.377232551574707 7.946505546569824 7.951666831970215 13.172715187072754 16.195417404174805 16.924461364746094 13.86196231842041 11.515416145324707 6.811155796051025 8.34000015258789 8.504166603088379,170.40322875976562 162.99107360839844 168.18817138671875 165.17222595214844 192.5779571533203 242.42916870117188 262.6034851074219 277.2056579589844 277.15972900390625 229.60350036621094 256.1166687011719 268.1370849609375,8.80692195892334 7.62886905670166 5.646102428436279 4.313333511352539 4.961828231811523 5.561666488647461 8.013575553894043 9.531989097595215 10.791388511657715 8.331048011779785 12.021528244018555 12.19973087310791,2.2780914306640625 2.731473207473755 1.9073923826217651 3.037222385406494 1.352150559425354 1.84291672706604 1.9376343488693237 2.281585931777954 2.614166498184204 2.6553761959075928 3.6490278244018555 3.1702957153320312,52.872310638427734 63.74256134033203 77.44757843017578 79.75277709960938 84.73521423339844 102.20138549804688 86.90725708007812 81.85752868652344 76.47638702392578 64.68682861328125 54.718055725097656 47.5,0.0 0.011904762126505375 0.004032257944345474 0.0 0.006720430217683315 0.02638888917863369 0.5403226017951965 0.31317204236984253 0.0486111119389534 0.0 0.008333333767950535 0.0416666679084301,0.36364245414733887 0.6799107193946838 1.1127688884735107 1.4322916269302368 1.5698251724243164 1.8290971517562866 1.9090725183486938 1.7341396808624268 1.387638807296753 0.9071908593177795 0.5729166865348816 0.33481183648109436,nan nan nan nan nan nan nan nan nan nan nan nan
Stockholm,9.038037300109863 9.334821701049805 8.100537300109863 8.563611030578613 7.357257843017578 6.862221717834473 5.76263427734375 7.597580909729004 10.053750038146973 5.651344299316406 7.867500305175781 6.974059581756592,4.381855010986328 5.0787200927734375 5.933602333068848 9.102222442626953 7.564650535583496 8.470972061157227 6.30094051361084 7.1930108070373535 8.195693969726562 3.220026731491089 3.5476388931274414 3.7811827659606934,189.38575744628906 190.98362731933594 179.36289978027344 166.66806030273438 143.1733856201172 142.68333435058594 148.34945678710938 180.00807189941406 202.9472198486328 207.19354248046875 216.74305725097656 206.39112854003906,11.757997512817383 10.879687309265137 9.78454303741455 10.198332786560059 8.272714614868164 8.94416618347168 6.223790168762207 9.768951416015625 9.258611679077148 7.758736610412598 14.300556182861328 14.42822551727295,0.7270161509513855 0.6401041746139526 0.6219086050987244 0.6809722185134888 0.7142473459243774 0.47736114263534546 0.3361559212207794 0.42298388481140137 0.5824999809265137 0.5451613068580627 0.768750011920929 0.6514785289764404,46.56855010986328 57.23660659790039 70.00806427001953 67.0361099243164 74.57661437988281 68.6500015258789 60.440860748291016 60.80376434326172 57.38472366333008 49.28360366821289 42.03888702392578 43.81989288330078,0.0 0.008928571827709675 0.0 0.16805554926395416 0.0013440860202535987 0.02777777798473835 0.0 0.057795699685811996 0.41527777910232544 0.13575269281864166 0.0 0.0,0.030376344919204712 0.10468749701976776 0.24932795763015747 0.647777795791626 1.0884408950805664 1.3076388835906982 1.1326613426208496 0.7459677457809448 0.5361111164093018 0.18024194240570068 0.035972222685813904 0.020967742428183556,nan 0.4001893997192383 0.6400538086891174 0.5333333611488342 0.4145161211490631 0.4323611259460449 0.4358871281147003 0.4978494644165039 0.7283333539962769 0.312231183052063 0.3106944262981415 0.24932795763015747
Indianapolis,9.660080909729004 11.442559242248535 11.804435729980469 13.536110877990723 18.545026779174805 31.265972137451172 23.383468627929688 19.068681716918945 13.244028091430664 9.545295715332031 9.134166717529297 10.355108261108398,6.6973114013671875 7.876934051513672 8.1721773147583 9.391805648803711 12.904031753540039 21.801111221313477 16.202285766601562 13.102956771850586 9.181666374206543 6.571505546569824 6.301666736602783 7.22392463684082,173.8736572265625 165.44940185546875 162.21371459960938 162.3541717529297 184.69085693359375 258.02362060546875 256.9059143066406 266.9085998535156 242.10000610351562 219.9153289794922 230.52777099609375 247.60215759277344,9.567876815795898 9.263690948486328 6.4104838371276855 6.006249904632568 7.746908664703369 6.489027976989746 6.613306045532227 6.796773910522461 7.170000076293945 7.026344299316406 9.33013916015625 10.810080528259277,4.026545524597168 3.4997024536132812 2.519354820251465 2.5476388931274414 2.055241823196411 2.1061110496520996 2.816801071166992 3.439650774002075 3.2223613262176514 3.1430106163024902 4.4015278816223145 4.3521504402160645,45.087364196777344 56.68452453613281 67.12096405029297 71.39444732666016 71.622314453125 91.93472290039062 91.98925018310547 83.03494262695312 71.36944580078125 59.80241775512695 51.01944351196289 43.01478576660156,0.004032257944345474 0.011904762126505375 0.025537634268403053 0.0 0.024193547666072845 0.03194444626569748 0.44354838132858276 0.41263440251350403 0.03888889029622078 0.008064515888690948 0.0 0.02016128972172737,0.25934138894081116 0.5825892686843872 0.7827284336090088 1.2599999904632568 1.6047714948654175 1.6510416269302368 1.8838709592819214 1.6971774101257324 1.2719444036483765 0.7588709592819214 0.4749305844306946 0.2163306474685669,nan nan nan nan nan nan nan nan nan nan nan nan
Tucson,8.55282211303711 8.057291984558105 8.594623565673828 6.944722652435303 6.876478672027588 7.109166622161865 14.758870124816895 11.085887908935547 8.890138626098633 7.602687835693359 7.0351386070251465 7.5154571533203125,5.755645275115967 5.180506229400635 5.5569891929626465 4.587222099304199 4.412634372711182 4.398333549499512 6.080107688903809 6.247042655944824 4.499444484710693 4.140994548797607 4.226527690887451 4.882392406463623,172.6962432861328 166.17559814453125 162.28359985351562 165.6125030517578 144.52149963378906 144.6972198486328 149.24192810058594 140.61289978027344 150.0527801513672 169.4516143798828 183.24444580078125 218.34677124023438,10.42049789428711 8.08980655670166 6.534274101257324 4.884166717529297 3.7396504878997803 4.357500076293945 5.10618257522583 5.4168009757995605 6.424583435058594 6.962231159210205 7.903750419616699 11.40994644165039,0.9383063912391663 0.8204612731933594 0.6220430135726929 1.0269445180892944 0.46088707447052 0.6298611164093018 1.0130376815795898 0.6700268983840942 1.9673610925674438 0.9508064985275269 1.112361192703247 1.4071236848831177,64.55376434326172 72.7827377319336 80.53494262695312 96.44305419921875 92.57123565673828 96.13055419921875 96.69355010986328 74.88574981689453 69.42082977294922 68.58736419677734 55.56111145019531 50.690860748291016,0.04973118379712105 0.3273809552192688 0.32526880502700806 0.33194443583488464 0.7674731016159058 1.726388931274414 18.75806427001953 6.586021423339844 7.037499904632568 4.1142473220825195 1.931944489479065 0.772849440574646,0.6639785170555115 0.9802083373069763 1.5649864673614502 2.2752084732055664 2.5971102714538574 2.8904168605804443 2.793145179748535 2.4102823734283447 2.0966665744781494 1.462231159210205 0.914027750492096 0.6007392406463623,nan nan nan nan nan nan nan nan nan nan nan nan
Brno,19.04032325744629 19.48199462890625 18.638307571411133 14.828888893127441 10.819355010986328 9.614861488342285 7.647715091705322 11.150537490844727 13.711389541625977 15.064516067504883 12.24291706085205 19.05927276611328,7.558870792388916 10.768155097961426 10.92150592803955 11.43083381652832 14.076210021972656 14.675694465637207 11.453226089477539 10.715860366821289 9.957222938537598 8.17715072631836 5.746527671813965 13.378226280212402,268.5994567871094 249.1220245361328 221.64784240722656 192.459716796875 156.5806427001953 151.21388244628906 154.99462890625 183.81854248046875 205.89999389648438 222.7540283203125 247.54861450195312 340.3507995605469,14.409340858459473 12.485417366027832 10.132392883300781 7.349721908569336 5.7571234703063965 6.030833721160889 5.505241870880127 7.384945869445801 7.687083721160889 10.083870887756348 11.94444465637207 15.190590858459473,4.510618209838867 4.170163631439209 3.520026683807373 2.2562499046325684 1.8315860033035278 1.318750023841858 0.7387096285820007 1.0944892168045044 1.759305477142334 2.0979838371276855 2.403749942779541 3.2697579860687256,35.79570007324219 49.15178680419922 59.09677505493164 64.3375015258789 70.33736419677734 73.7249984741211 72.82123565673828 71.83064270019531 65.73611450195312 48.32795715332031 37.03472137451172 32.370967864990234,0.34139785170555115 0.1473214328289032 0.08602150529623032 0.49444442987442017 0.2083333283662796 0.43611112236976624 0.3615591526031494 1.0094085931777954 1.7277777194976807 2.2271504402160645 0.0055555556900799274 0.025537634268403053,0.0961693599820137 0.25126489996910095 0.5085349678993225 0.6903471946716309 1.1636425256729126 1.4224306344985962 1.5757392644882202 1.2464381456375122 1.021875023841858 0.4597446024417877 0.15291666984558105 0.10383064299821854,nan 2.1393938064575195 4.309811592102051 2.821666717529297 1.5030914545059204 1.59291672706604 1.7844085693359375 2.173252820968628 2.391944408416748 1.7403225898742676 1.1044445037841797 1.227150559425354
